name of company,college name,region,year,Salary
MPHASIS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,710194
MPHASIS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,723883
ATOS,MIT COLLEGE OF ENGINEERING,PUNE,2017,25605
LIONBRIDGE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,44716
ACCOLITE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,1138146
MASTEK,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,303290
UBS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,1801956
SCHNEIDER ELECTRIC,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2016,445656
ACCENTURE,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,659408
CLOVER INFOTECH,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,364651
RAJA SOFTWARE LABS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,436638
WISDMLABS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,1773789
KPIT TECHNOLOGIES,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,773491
INFOSYS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,655067
HEXAWARE TECHNOLOGIES,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,30641
RAVE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,636636
QUINNOX,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,446973
CAPGEMINI,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,390727
TCS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2014,42457
GOOGLE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,44037
CREDIT SUISSE,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,296558
AMDOCS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,779623
VISA INC.,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,1193864
SIEMENS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,481372
CAPITA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,564468
CMS IT SERVICES,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,448401
AMAZON,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,20652
RAJA SOFTWARE LABS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,447438
TCS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,363745
ZYCUS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,41812
HEXAWARE TECHNOLOGIES,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2014,752760
MAQ SOFTWARE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,1665163
SYMANTEC,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,1801956
MU SIGMA,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,343078
AXIS BANK,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,11637
ZENSAR TECHNOLOGIES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,1128171
CYBAGE SOFTWARE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,597715
ZYCUS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,41207
MICROSOFT,COLLEGE OF ENGINEERING PUNE,PUNE,2014,411625
ADOBE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,1184494
MINDTREE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,17254
AXIS BANK,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,580114
SIEMENS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,478749
AMDOCS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,771234
NUCSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,30409
CAPGEMINI,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,780541
NVIDIA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2017,251151
SAP,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,59201
SAINT-GOBAIN,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,733857
MU SIGMA,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,343078
CAPGEMINI,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,781532
AMAZON,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,435128
CAPGEMINI,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,394485
UBS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,1835156
INFOSYS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,629204
CAPGEMINI,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,780807
GEP,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,731048
CROMPTON GREAVES,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,253670
WIPRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,487963
HDFC,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,535569
MU SIGMA,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,716385
INDUS VALLEY PARTNERS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,29258
XORIANT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,662071
WIPRO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,476574
QUALITYKIOSK,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,26223
TATA,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,98458
ATOS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,722756
HEXAWARE TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,754281
MEDIA.NET,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2014,574582
PROTEGRITY,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,1153297
TATA CONSULTANCY SERVICES,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,766004
WIPRO,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,475297
TECH MAHINDRA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,499914
CAPITA,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,565595
RAVE TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,408839
NEWGEN,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,10913
CAPGEMINI,MIT COLLEGE OF ENGINEERING,PUNE,2017,786090
QUANTIPHI,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,30755
IDBI INTECH,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,540052
INFOSYS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,464143
THIRDWARE SOLUTION,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,495501
MAQ SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,1637085
INFOSYS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,470498
MU SIGMA,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,341895
KPIT TECHNOLOGIES,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,793328
HEWLETT-PACKARD,COLLEGE OF ENGINEERING PUNE,PUNE,2015,53847
THIRDWARE SOLUTION,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,435854
GENPACT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,642625
MILES SOFTWARE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,645301
UGAM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,799479
CREDIT SUISSE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,293193
BNP PARIBAS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,53484
NUCSOFT,COLLEGE OF ENGINEERING PUNE,PUNE,2016,30714
WIPRO,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,477461
QUINNOX,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,806404
PROTEGRITY,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,1196602
RAVE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,623947
ORACLE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,753646
NEWGEN SOFTWARE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,432807
GEOMETRIC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,444296
VISA INC.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,1209420
PC TECHNOLOGY,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,812275
HURIX,MIT COLLEGE OF ENGINEERING,PUNE,2018,917310
ECLERX,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,45380
MICROSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,1143742
NEOSOFT TECHNOLOGIES,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,470498
THIRDWARE SOLUTION,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,443055
ATIDAN,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,944701
MORGAN STANLEY,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,1764982
SABA SOFTWARE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2014,699705
SIEMENS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,495501
QUALITYKIOSK,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,26751
GEOMETRIC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,443392
TATA CONSULTANCY SERVICES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,744672
MORGAN STANLEY,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,518218
JIO,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,715029
ACCENTURE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,303420
XL DYNAMICS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,384639
ORACLE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,741313
NSEIT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,50000
MPHASIS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2016,491126
AMDOCS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,792832
VPHRASE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,409027
NUCSOFT,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,29559
GENPACT,COLLEGE OF ENGINEERING PUNE,PUNE,2018,640053
GE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,719087
TECH MAHINDRA,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,485960
INFORMATICA,COLLEGE OF ENGINEERING PUNE,PUNE,2015,383894
ACCENTURE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,302846
GEOMETRIC,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,452989
MPHASIS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2015,704559
THIRDWARE SOLUTION,COLLEGE OF ENGINEERING PUNE,PUNE,2017,443055
RAVE TECHNOLOGIES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,414790
IBM INDIA,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,557243
NEWGEN SOFTWARE,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,687508
INFIBEAM,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,184121
NEWGEN,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,11083
SYNTROSYS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,13176
LIONBRIDGE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,44019
MASTEK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,314727
ORIENT TECHNOLOGIES,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,26751
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,53484
CRMNEXT,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,27065
ENDURANCE INTERNATIONAL GROUP,MIT COLLEGE OF ENGINEERING,PUNE,2017,791523
TECH MAHINDRA,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,30546
BOOKMYSHOW,MIT COLLEGE OF ENGINEERING,PUNE,2018,355574
SCHNEIDER ELECTRIC,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,107404
NEWGEN,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2014,11094
ZYCUS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,40627
ZENITH SYSTEM SOLUTIONS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,579967
ADOBE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,1161428
MILES SOFTWARE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,652677
BANK OF AMERICA,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,865875
JIO,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,730297
IBM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,431221
AMAZON,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,20204
ACCENTURE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,678558
DIRECTI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1656475
QAD,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,888895
RAJA SOFTWARE LABS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2015,433887
IBM INDIA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,551392
GENPACT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,614311
MORGAN STANLEY,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,501612
AMDOCS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,781139
ATOS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,729796
NEWGEN SOFTWARE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,687240
INDUS VALLEY PARTNERS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,29849
IDBI INTECH,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,384639
ACCENTURE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,299512
SAINT-GOBAIN,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,736753
ADOBE,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,1161785
SIEMENS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,494511
GEOMETRIC SOFTWARE SOLUTIONS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,337108
TCS,COLLEGE OF ENGINEERING PUNE,PUNE,2014,373865
CAPGEMINI,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,815073
ZENSAR TECHNOLOGIES,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,483912
QAD,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,741821
ENDURANCE INTERNATIONAL GROUP,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,782722
SIEMENS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,494434
MAQ SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,763111
OSP LABS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,838443
ATOS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,698841
MAQ SOFTWARE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,1674172
GEOMETRIC SOFTWARE SOLUTIONS,COLLEGE OF ENGINEERING PUNE,PUNE,2015,346240
ECLINICALWORKS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,602975
XORIANT,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,657673
SYNTROSYS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,957887
BHARAT PETROLEUM,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,390905
AMDOCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,683094
CYBAGE SOFTWARE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,606908
CROMPTON GREAVES,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,254398
MU SIGMA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,347945
NEOSOFT,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,514326
CMC,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,185858
ATIDAN,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2014,819759
INFOSYS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,636636
TATA,COLLEGE OF ENGINEERING PUNE,PUNE,2018,95866
GEOMETRIC,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,443055
CMS IT SERVICES,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,453017
DIRECTI,COLLEGE OF ENGINEERING PUNE,PUNE,2017,1634936
PROTEGRITY,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,1171124
IBM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,445172
GEP,MIT COLLEGE OF ENGINEERING,PUNE,2018,767618
MAQ SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,1672247
RAJA SOFTWARE LABS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,451376
INFORMATICA,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,1799648
SIEMENS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,498153
THIRDWARE SOLUTION,MIT COLLEGE OF ENGINEERING,PUNE,2016,481961
BNP PARIBAS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,37670
TOPPR.COM,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,1010048
TATA COMMUNICATIONS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2015,680134
XORIANT,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,672101
HEXAWARE TECHNOLOGIES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,30406
TECH MAHINDRA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,478218
GEP,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,739873
HCL TECHNOLOGIES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,920320
GEOMETRIC,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,443055
CAPGEMINI,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,805000
TCS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2017,358097
TECH MAHINDRA,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,30115
QUINNOX,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,447198
CIMPRESS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,1346409
MICROSOFT,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,1207939
MORGAN STANLEY,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,1764982
GE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,515175
THIRDWARE SOLUTION,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,451620
AMAZON,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,449735
NVIDIA,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2016,247623
KPIT TECHNOLOGIES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,821173
ADOBE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,109738
TCS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,42153
INFORMATICA,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,392439
TCS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,42839
WEATHERFORD,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,505137
MEDIA.NET,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2017,577868
WISDMLABS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,471121
MILES SOFTWARE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,649593
ADOBE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,108137
INFOSYS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,631785
BNP PARIBAS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,53367
TOPPR.COM,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,386712
SCHNEIDER ELECTRIC,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,435604
BHARAT PETROLEUM,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,379476
MINDTREE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,17351
INFOSYS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,474985
CLOVER INFOTECH,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,373529
NETWORK 18,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,423587
CAPITA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,589694
TECH MAHINDRA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,29854
SCHNEIDER ELECTRIC,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,109643
SABA SOFTWARE,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,709027
THIRDWARE SOLUTION,COLLEGE OF ENGINEERING PUNE,PUNE,2015,496011
CAPGEMINI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,795041
DIRECTI,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,1656475
GODREJ INFOTECH,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,383910
NEWGEN SOFTWARE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,693211
NVIDIA,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,249593
CAPGEMINI,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,808664
TATA COMMUNICATIONS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,374390
ENDURANCE INTERNATIONAL GROUP,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,783858
MINDTREE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,17308
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1764982
ORANGE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,20399
WIPRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,480110
TATA,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,95508
QUINNOX,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,434169
CALSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,16195
UBS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,1781937
RAVE TECHNOLOGIES,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,636636
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,771234
UBS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,376245
BNP PARIBAS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,38384
NETWORK 18,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,422616
QUALITYKIOSK,COLLEGE OF ENGINEERING PUNE,PUNE,2015,31405
